"","X","Nstates","Tstates","tpurity","Ncount","Tcount","log.ratios","state","hiddenstate","hiddenNstate","hiddenTstate","consistance","compressedState","compressedhiddenState","compressedconsistence","postpurity","clusterpurity","truepuritydiff","tcompressedstate"
"13731",13731,1,2,0.7,7,19,0.78845736036427,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13732",13732,1,2,0.7,8,18,0.628608659422374,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13733",13733,3,2,0.7,31,8,-0.732625991533733,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13734",13734,1,2,0.7,16,18,0.083881483980702,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13735",13735,3,2,0.7,35,21,-0.328504066972036,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13736",13736,2,2,0.7,24,18,-0.192371892647456,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13737",13737,1,2,0.7,9,17,0.483796951378071,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13738",13738,2,2,0.7,24,19,-0.157628944203583,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13739",13739,1,2,0.7,5,18,1.03673688495002,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13740",13740,3,2,0.7,31,19,-0.316037298206906,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13741",13741,3,2,0.7,32,23,-0.219244910898552,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13742",13742,3,2,0.7,40,18,-0.486133011175619,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13743",13743,2,2,0.7,18,20,0.0749013081731177,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13744",13744,1,2,0.7,6,14,0.659245628884264,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13745",13745,3,2,0.7,26,15,-0.351195478174107,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13746",13746,2,2,0.7,22,18,-0.13613217432458,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13747",13747,3,2,0.7,25,18,-0.218156009803171,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13748",13748,1,2,0.7,10,15,0.300104592450338,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13749",13749,1,2,0.7,5,17,0.985816794522765,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13750",13750,3,2,0.7,41,21,-0.417735200699979,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13751",13751,2,2,0.7,20,29,0.273836665629728,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13752",13752,3,2,0.7,28,13,-0.470003629245736,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13753",13753,2,2,0.7,22,18,-0.13613217432458,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13754",13754,3,2,0.7,35,10,-0.693147180559945,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13755",13755,2,2,0.7,20,15,-0.192371892647456,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13756",13756,3,2,0.7,25,12,-0.452556715642015,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13757",13757,2,2,0.7,18,22,0.144581228811108,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13758",13758,3,2,0.7,28,19,-0.25489224962879,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13759",13759,2,2,0.7,24,19,-0.157628944203583,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13760",13760,1,2,0.7,11,15,0.226773319364789,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13761",13761,2,2,0.7,27,15,-0.372675285285173,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13762",13762,3,2,0.7,31,15,-0.448305266784657,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13763",13763,1,2,0.7,9,21,0.659245628884264,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13764",13764,3,2,0.7,25,16,-0.29035230100766,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13765",13765,2,2,0.7,22,13,-0.337381741004053,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13766",13766,1,2,0.7,5,16,0.932164081030445,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13767",13767,2,2,0.7,16,16,0,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13768",13768,3,2,0.7,30,14,-0.467340511826252,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13769",13769,1,2,0.7,6,16,0.773189888233482,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13770",13770,1,2,0.7,9,16,0.434664262800427,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13771",13771,2,2,0.7,15,15,0,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13772",13772,1,2,0.7,11,20,0.452811228705363,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13773",13773,3,2,0.7,26,15,-0.351195478174107,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13774",13774,3,2,0.7,16,19,0.123323216031999,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13775",13775,1,2,0.7,11,14,0.174716957408735,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13776",13776,1,2,0.7,14,14,0,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13777",13777,3,2,0.7,33,19,-0.352355282794216,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13778",13778,2,2,0.7,29,18,-0.308588757271095,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13779",13779,2,2,0.7,15,15,0,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13780",13780,1,2,0.7,12,14,0.110348057168865,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13781",13781,3,2,0.7,29,20,-0.244930905499117,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13782",13782,2,2,0.7,17,13,-0.179971379449001,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13783",13783,1,2,0.7,16,16,0,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13784",13784,2,2,0.7,20,19,-0.035627177643151,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13785",13785,1,2,0.7,16,25,0.331997956226292,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13786",13786,2,2,0.7,24,15,-0.304489190768162,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13787",13787,1,2,0.7,13,10,-0.176186568226439,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13788",13788,3,2,0.7,28,12,-0.510825623765991,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13789",13789,2,2,0.7,23,18,-0.165079750359449,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13790",13790,3,2,0.7,25,17,-0.253602758798918,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13791",13791,2,2,0.7,23,18,-0.165079750359449,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13792",13792,3,2,0.7,45,11,-0.752661308092353,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13793",13793,1,2,0.7,10,15,0.300104592450338,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13794",13794,3,2,0.7,32,11,-0.615029401295993,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13795",13795,2,2,0.7,19,15,-0.159427736928102,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13796",13796,1,2,0.7,5,17,0.985816794522765,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13797",13797,2,2,0.7,21,20,-0.0339015516756813,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13798",13798,1,2,0.7,10,15,0.300104592450338,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13799",13799,3,2,0.7,29,15,-0.412385550952738,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13800",13800,2,2,0.7,23,8,-0.609765571620894,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13801",13801,3,2,0.7,28,21,-0.192371892647456,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13802",13802,2,2,0.7,20,14,-0.23572233352107,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13803",13803,2,2,0.7,25,14,-0.368169323364467,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13804",13804,1,2,0.7,4,17,1.18631786908722,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13805",13805,3,2,0.7,31,16,-0.413562318340784,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13806",13806,1,2,0.7,7,19,0.78845736036427,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13807",13807,2,2,0.7,25,17,-0.253602758798918,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13808",13808,3,2,0.7,25,16,-0.29035230100766,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13809",13809,1,2,0.7,11,18,0.368423836427815,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13810",13810,2,2,0.7,20,13,-0.281037529733112,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13811",13811,3,2,0.7,26,20,-0.176186568226439,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13812",13812,1,2,0.7,12,13,0.0566953436765453,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13813",13813,3,2,0.7,38,13,-0.617161273582023,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13814",13814,2,2,0.7,24,13,-0.386888722535229,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13815",13815,1,2,0.7,12,13,0.0566953436765453,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13816",13816,2,2,0.7,29,19,-0.276253376628158,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13817",13817,1,2,0.7,11,15,0.226773319364789,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13818",13818,3,2,0.7,21,17,-0.143100843640673,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13819",13819,1,2,0.7,9,17,0.483796951378071,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13820",13820,2,2,0.7,14,21,0.300104592450338,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13821",13821,3,2,0.7,20,15,-0.192371892647456,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13822",13822,2,2,0.7,20,19,-0.035627177643151,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13823",13823,1,2,0.7,9,6,-0.265703165733006,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13824",13824,3,2,0.7,30,14,-0.467340511826252,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13825",13825,2,2,0.7,18,25,0.240765152664029,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13826",13826,3,2,0.7,25,18,-0.218156009803171,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13827",13827,2,2,0.7,21,18,-0.105360515657826,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13828",13828,1,2,0.7,13,12,-0.055350095083165,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13829",13829,3,2,0.7,25,16,-0.29035230100766,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13830",13830,1,2,0.7,17,20,0.116474990996368,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,3
"13831",13831,2,2,0.7,19,18,-0.0375379193190652,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13832",13832,1,2,0.7,11,17,0.32340015505386,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13833",13833,3,2,0.7,31,19,-0.316037298206906,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13834",13834,2,2,0.7,12,18,0.300104592450338,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13835",13835,3,2,0.7,34,17,-0.430782916092454,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13836",13836,1,2,0.7,10,16,0.350656871613169,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13837",13837,3,2,0.7,25,17,-0.253602758798918,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13838",13838,2,2,0.7,21,20,-0.0339015516756813,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13839",13839,1,2,0.7,5,18,1.03673688495002,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13840",13840,3,2,0.7,25,26,0.0276151670329734,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13841",13841,3,2,0.7,25,17,-0.253602758798918,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13842",13842,1,2,0.7,5,19,1.08518926833597,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,6
"13843",13843,3,2,0.7,40,15,-0.575364144903562,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13844",13844,2,2,0.7,18,23,0.177681177237452,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,3
"13845",13845,3,2,0.7,25,17,-0.253602758798918,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13846",13846,3,2,0.7,30,25,-0.124052648669979,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,3
"13847",13847,3,2,0.7,35,18,-0.415515443961666,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13848",13848,1,2,0.7,8,18,0.628608659422374,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13849",13849,3,2,0.7,28,15,-0.393042588109607,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13850",13850,2,2,0.7,11,19,0.411507422564127,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,4
"13851",13851,3,2,0.7,40,17,-0.515000995176471,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
"13852",13852,1,2,0.7,9,22,0.698687360935561,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13853",13853,2,2,0.7,24,15,-0.304489190768162,8,2,1,1,FALSE,3,3,TRUE,NA,NA,NA,2
"13854",13854,1,2,0.7,7,18,0.741937344729377,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,5
"13855",13855,1,2,0.7,11,17,0.32340015505386,3,2,1,1,FALSE,5,3,FALSE,NA,NA,NA,4
"13856",13856,3,2,0.7,32,20,-0.304489190768162,13,2,1,1,FALSE,2,3,FALSE,NA,NA,NA,2
